"001","002","003","004","005","006","007","008","009","010","011"
"61","27-03-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","27","38","NA"
"61","30-03-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","14","21","47","NA"
"61","01-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","21","78","NA"
"61","06-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","24","107","NA"
"61","08-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","19","86","NA"
"61","10-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","22","38","NA"
"61","13-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","25","83","NA"
"61","15-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","29","113","NA"
"61","17-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","25","82","NA"
"61","20-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","26","192","NA"
"61","22-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","32","90","NA"
"61","24-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","31","98","NA"
"61","27-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","28","128","NA"
"61","29-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","30","78","NA"
"61","08-05-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","13","37","149","NA"
"61","11-05-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","26","88","NA"
"61","13-05-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","28","111","NA"
"61","15-05-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","33","65","NA"
"61","18-05-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","28","58","NA"
"61","20-05-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","27","107","NA"
"61","25-05-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","7","29","80","NA"
"61","03-06-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","7","25","105","NA"
"61","08-06-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","28","68","NA"
"61","01-07-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","7","29","109","NA"
"61","03-07-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","27","146","NA"
"61","06-07-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","7","27","76","NA"
"61","05-08-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","6","25","49","NA"
"61","10-08-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","17","111","NA"
"61","12-08-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","7","16","108","NA"
"61","14-08-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","7","19","162","NA"
"61","17-08-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","7","14","140","NA"
"61","19-08-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","7","15","115","NA"
