,Time,AQI
,Mon Feb 08 2016 10:40:00 GMT+0000 (UTC),184
,Mon Feb 08 2016 11:15:00 GMT+0000 (UTC),164
,Mon Feb 08 2016 12:45:00 GMT+0000 (UTC),167
,Mon Feb 08 2016 15:20:00 GMT+0000 (UTC),240
,Mon Feb 08 2016 21:40:00 GMT+0000 (UTC),363
,Tue Feb 09 2016 00:00:00 GMT+0000 (UTC),355
,Tue Feb 09 2016 03:00:00 GMT+0000 (UTC),466
,Tue Feb 09 2016 04:20:00 GMT+0000 (UTC),390
,Tue Feb 09 2016 12:40:00 GMT+0000 (UTC),247
,Tue Feb 09 2016 13:40:00 GMT+0000 (UTC),307
,Tue Feb 09 2016 19:25:00 GMT+0000 (UTC),411
,Wed Feb 10 2016 00:40:00 GMT+0000 (UTC),414
,Wed Feb 10 2016 01:20:00 GMT+0000 (UTC),414
,Wed Feb 10 2016 05:40:00 GMT+0000 (UTC),501
,Wed Feb 10 2016 20:20:00 GMT+0000 (UTC),385
,Thu Feb 11 2016 03:00:00 GMT+0000 (UTC),302
,Thu Feb 11 2016 12:40:00 GMT+0000 (UTC),234
,Thu Feb 11 2016 14:25:00 GMT+0000 (UTC),671
,Thu Feb 11 2016 19:00:00 GMT+0000 (UTC),312
,Fri Feb 12 2016 00:20:00 GMT+0000 (UTC),226
,Fri Feb 12 2016 03:00:00 GMT+0000 (UTC),372
,Fri Feb 12 2016 06:40:00 GMT+0000 (UTC),353
,Fri Feb 12 2016 08:00:00 GMT+0000 (UTC),241
,Fri Feb 12 2016 08:40:00 GMT+0000 (UTC),230
,Fri Feb 12 2016 10:20:00 GMT+0000 (UTC),293
,Fri Feb 12 2016 10:40:00 GMT+0000 (UTC),250
,Fri Feb 12 2016 20:15:00 GMT+0000 (UTC),334
,Sat Feb 13 2016 09:40:00 GMT+0000 (UTC),313
,Sat Feb 13 2016 14:20:00 GMT+0000 (UTC),155
,Sat Feb 13 2016 18:25:00 GMT+0000 (UTC),210
,Sat Feb 13 2016 20:00:00 GMT+0000 (UTC),309
,Sun Feb 14 2016 03:40:00 GMT+0000 (UTC),305
,Sun Feb 14 2016 07:00:00 GMT+0000 (UTC),193
,Sun Feb 14 2016 11:00:00 GMT+0000 (UTC),243
,Sun Feb 14 2016 11:20:00 GMT+0000 (UTC),223
,Sun Feb 14 2016 12:10:00 GMT+0000 (UTC),179
,Sun Feb 14 2016 12:40:00 GMT+0000 (UTC),155
,Sun Feb 14 2016 14:35:00 GMT+0000 (UTC),193
,Sun Feb 14 2016 17:00:00 GMT+0000 (UTC),320
,Sun Feb 14 2016 18:20:00 GMT+0000 (UTC),322
,Sun Feb 14 2016 23:40:00 GMT+0000 (UTC),187
,Sun Nov 27 2016 14:50:00 GMT+0000 (UTC),200
,Fri Sep 30 2016 07:10:00 GMT+0000 (UTC),92
,Thu Oct 27 2016 12:50:00 GMT+0000 (UTC),385
,Sat Oct 15 2016 08:30:00 GMT+0000 (UTC),500
